link,title,channel
https://www.youtube.com/watch?v=szuftPXrjos,"¿De dónde salió el mito del ""Macho Alfa""? - CuriosaMente 262",CuriosaMente
https://www.youtube.com/watch?v=tcx0J2-wY5A,¿Los animales tienen TRASTORNOS MENTALES? - CuriosaMente 265,CuriosaMente
https://www.youtube.com/watch?v=fHTkg8GxbKU,Ariana Grande Estaría Por Cantar en El Super Bowl con The Weeknd!?,Clevver TeVe
https://www.youtube.com/watch?v=jFCwPKkktZE&t=18s,Miley Cyrus Apoya a Britney Spears en Show del Super Bowl + Tachan a Justin Timberlake de Misógino,Clevver TeVe
https://www.youtube.com/watch?v=LABEGvXxhFk,Kylie Jenner Calla a sus Haters Presumiendo Ducha de Lujo,Clevver TeVe
https://www.youtube.com/watch?v=UEjGEXAndzY,5 Main Differences Between Spanish from Latin America & Spain | Easy Spanish 203,Easy Spanish
https://www.youtube.com/watch?v=G-5fPr6xCHY,¿Quién bailó primero? - CuriosaMente 263,CuriosaMente
https://www.youtube.com/watch?v=_f9TW-3MQLU,_____ Building basic sentences with CUÁNTO & HAY  | Spanish for beginners,Use your Spanish
https://www.youtube.com/watch?v=NS-SssFs8LE,Billie Eilish Debuta Cantando en Español con Rosalía en 'Lo Vas a Olvidar',Clevver TeVe
https://www.youtube.com/watch?v=uH1u5NgalYg,Spanish verbs you need in the kitchen | cooking vocabulary _______,Use your Spanish
https://www.youtube.com/watch?v=9GLutD_T_eM,We Asked People for Their Best Advice! | Easy Spanish 211,Easy Spanish
https://www.youtube.com/watch?v=R6OZ7LSkkVQ,How to use the verb LLEVAR in Spanish_  | 12 meanings and expressions,Use your Spanish
https://www.youtube.com/watch?v=T3wYduXDXrQ,Selena Gomez y Zayn Malik Posiblemente Colaborarán!,Clevver TeVe
https://www.youtube.com/watch?v=8zlydJmQHak,¿Quién es Tláloc? - CuriosaMente 256,CuriosaMente
https://www.youtube.com/watch?v=uNBlIkwygrY,_____ How to describe and compare people's appearance in Spanish | Basic vocabulary for beginners,Use your Spanish
https://www.youtube.com/watch?v=LAN95iIsuo0,__ ¿Por qué nos enojamos? - CuriosaMente 245,CuriosaMente
https://www.youtube.com/watch?v=MwnKhJ0BQuQ,"Ariana Grande y Rihanna, Dua Lipa y Harry Styles: Colaboraciones que Exigimos en 2021",Clevver TeVe
https://www.youtube.com/watch?v=8eOFyM_W4Ic,__ Aprende español con conversaciones de la vida diaria | Diálogos cotidianos #4 | Nivel Avanzado,Use your Spanish
https://www.youtube.com/watch?v=Tiqntiw5uMc,How We Celebrate Christmas: Argentina vs. Spain vs. Mexico | Easy Spanish 221,Easy Spanish
