link,title,channel
https://www.youtube.com/watch?v=VQL45CCaOR4,Jill Biden visita el local de una hispana en Washington D.C. | Noticias Telemundo,Noticias Telemundo
https://www.youtube.com/watch?v=rYH9LtVZHt0,"Noticias Telemundo 6:30 pm, 8 de febrero de 2021 | Noticias Telemundo",Noticias Telemundo
https://www.youtube.com/watch?v=wS-lmbBgCEs,Pepe y Teo Opinan Recuento 2020 - Lo Mejor del 2020,PepeyTeo
https://www.youtube.com/watch?v=jW9Nme-8dbA,Rigoberta MenchÃº - Intermediate Spanish,Dreaming Spanish
https://www.youtube.com/watch?v=oqeTjwfizPQ,Â¿CÃ_mo cortar fruta con tu iPhone? _Ÿ˜± | Hacks de TikTok #8,Luisito Comunica
https://www.youtube.com/watch?v=KD_y27niZrU,Los demÃ_cratas planean ayuda directa a familias con niÃ±os | Noticias Telemundo,Noticias Telemundo
https://www.youtube.com/watch?v=vtopsT7vtrM,"Noticias Telemundo MediodÃ_a, 8 de febrero de 2021 | Noticias Telemundo",Noticias Telemundo
https://www.youtube.com/watch?v=-OqwZblYn2M,"Verbos de obligaciÃ_n: deber, tener que, hay que, necesitar (GRAMÃÅTICA)",Espanol Automatico
https://www.youtube.com/watch?v=fTvU9ZCAo_Q,HISTORIAS DE TERROR HOSPITALARIO | MÃ‰DICO RELATA LAS HISTORIAS MAS ESCALOFRIANTES DEL HOSPITAL,Mr Doctor Oficial
https://www.youtube.com/watch?v=zRLABgQmbBo,No hagas de los NATIVOS tu estrella polar,Espanol Automatico
https://www.youtube.com/watch?v=OBA5tEPbcyg,DespuÃ©s de los CHILAQUILES MAS PICOSOS del mundo ESTUVE A PUNTO DE MORIR en el baÃ±o,La Ruta de la Garnacha
https://www.youtube.com/watch?v=SL1_5ZAe1Rs,INTERNAS Y RIVALES | MÃ‰DICOS: HISTORIAS DE LP | EPISODIO 5,Mr Doctor Oficial
https://www.youtube.com/watch?v=xNGKLR1aphE,â€œNo tengo a nadie con quien hablar en espaÃ±olâ€ù (SOLUCIÃ“N),Espanol Automatico
https://www.youtube.com/watch?v=RY7qqvX7J5g,Entiendo todo pero no puedo hablar,Espanol Automatico
https://www.youtube.com/watch?v=lH6zK75lChQ,PROBANDO EL MEJOR BBQ DE MÃ‰XICO,Coreano Vlogs
https://www.youtube.com/watch?v=n8oUp4HzrXY,Â¡Receta NavideÃ±a! Strudel de Manzana | Pepe & Teo,PepeyTeo
https://www.youtube.com/watch?v=PyUtKSLPW-0,Queride Centennial SHAKIRA | Pepe & Teo,PepeyTeo
https://www.youtube.com/watch?v=UDevIobVsdQ,Investidura de Biden | Genesis y Su VerDRAG | Seleccionadas de LMD con @Myr RamÃ_rez y @La Palina,PepeyTeo
https://www.youtube.com/watch?v=XAM2WzfwNMc,CelebraciÃ_n masiva por el Super Bowl en medio de la pandemia | Noticias Telemundo,Noticias Telemundo
